Date,Open,High,Low,Close,Adj Close,Volume
9/1/2006,1303.800049,1312.030029,1303.800049,1311.01001,1311.01001,1800520000
10/1/2006,1335.819946,1338.540039,1330.280029,1331.319946,1331.319946,2154480000
11/1/2006,1377.76001,1381.949951,1366.26001,1367.810059,1367.810059,2821160000
12/1/2006,1400.630005,1402.459961,1385.930054,1396.709961,1396.709961,2800980000
1/1/2007,1418.030029,1429.420044,1407.859985,1416.599976,1416.599976,3429160000
2/1/2007,1437.900024,1446.640015,1437.900024,1445.939941,1445.939941,2914890000
3/1/2007,1406.800049,1409.459961,1380.869995,1403.170044,1403.170044,3874910000
4/1/2007,1420.829956,1425.48999,1416.369995,1424.550049,1424.550049,2875880000
5/1/2007,1482.369995,1487.27002,1476.699951,1486.300049,1486.300049,3400350000
6/1/2007,1530.619995,1540.560059,1530.619995,1536.339966,1536.339966,2927020000
7/1/2007,1504.660034,1519.449951,1504.660034,1519.430054,1519.430054,2648990000
8/1/2007,1455.180054,1468.380005,1439.589966,1465.810059,1465.810059,5256780000
9/1/2007,1473.959961,1496.400024,1472.150024,1489.420044,1489.420044,2766600000
10/1/2007,1527.290039,1549.02002,1527.25,1547.040039,1547.040039,3281990000
11/1/2007,1545.790039,1545.790039,1506.660034,1508.439941,1508.439941,4241470000
12/1/2007,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000
1/1/2008,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000
2/1/2008,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,4650770000
3/1/2008,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,4117570000
4/1/2008,1326.410034,1370.180054,1326.410034,1370.180054,1370.180054,4745120000
5/1/2008,1385.969971,1410.069946,1383.069946,1409.339966,1409.339966,4448780000
6/1/2008,1399.619995,1399.619995,1377.790039,1385.670044,1385.670044,3714320000
7/1/2008,1276.689941,1285.310059,1260.680054,1284.910034,1284.910034,5846290000
8/1/2008,1269.420044,1270.52002,1254.540039,1260.310059,1260.310059,4684870000
9/1/2008,1287.829956,1303.040039,1272.199951,1277.579956,1277.579956,4783560000
10/1/2008,1164.170044,1167.030029,1140.77002,1161.060059,1161.060059,5782130000
11/1/2008,968.669983,975.570007,958.820007,966.299988,966.299988,4492280000
12/1/2008,888.609985,888.609985,815.690002,816.210022,816.210022,6052010000
1/1/2009,902.98999,934.72998,899.349976,931.799988,931.799988,4048270000
2/1/2009,823.090027,830.780029,812.869995,825.440002,825.440002,5673270000
3/1/2009,729.570007,729.570007,699.700012,700.820007,700.820007,7868290000
4/1/2009,793.590027,813.619995,783.320007,811.080017,811.080017,6034140000
5/1/2009,872.73999,880.47998,866.099976,877.52002,877.52002,5312170000
6/1/2009,923.26001,947.77002,923.26001,942.869995,942.869995,6370440000
7/1/2009,920.820007,931.919983,920.820007,923.330017,923.330017,3919400000
8/1/2009,990.219971,1003.609985,990.219971,1002.630005,1002.630005,5603440000
9/1/2009,1019.52002,1028.449951,996.280029,998.039978,998.039978,6862360000
10/1/2009,1054.910034,1054.910034,1029.449951,1029.849976,1029.849976,5791450000
11/1/2009,1036.180054,1052.180054,1029.380005,1042.880005,1042.880005,6202640000
12/1/2009,1098.890015,1112.280029,1098.890015,1108.859985,1108.859985,4249310000
1/1/2010,1116.560059,1133.869995,1116.560059,1132.98999,1132.98999,3991400000
2/1/2010,1073.890015,1089.380005,1073.890015,1089.189941,1089.189941,4077610000
3/1/2010,1105.359985,1116.109985,1105.359985,1115.709961,1115.709961,3847640000
4/1/2010,1171.22998,1181.430054,1170.689941,1178.099976,1178.099976,4006870000
5/1/2010,1188.579956,1205.130005,1188.579956,1202.26001,1202.26001,4938050000
6/1/2010,1087.300049,1094.77002,1069.890015,1070.709961,1070.709961,5271480000
7/1/2010,1031.099976,1033.579956,1010.909973,1027.369995,1027.369995,6435770000
8/1/2010,1107.530029,1127.300049,1107.530029,1125.859985,1125.859985,4144180000
9/1/2010,1049.719971,1081.300049,1049.719971,1080.290039,1080.290039,4396880000
10/1/2010,1143.48999,1150.300049,1139.420044,1146.23999,1146.23999,4298910000
11/1/2010,1185.709961,1195.810059,1177.650024,1184.380005,1184.380005,4129180000
12/1/2010,1186.599976,1207.609985,1186.599976,1206.069946,1206.069946,4548110000
1/1/2011,1257.619995,1276.170044,1257.619995,1271.869995,1271.869995,4286670000
2/1/2011,1289.140015,1308.859985,1289.140015,1307.589966,1307.589966,5164500000
3/1/2011,1328.640015,1332.089966,1306.140015,1306.329956,1306.329956,1180420000
4/1/2011,1329.47998,1337.849976,1328.890015,1332.410034,1332.410034,4223740000
5/1/2011,1365.209961,1370.579956,1358.589966,1361.219971,1361.219971,3846250000
6/1/2011,1345.199951,1345.199951,1313.709961,1314.550049,1314.550049,4241090000
7/1/2011,1320.640015,1341.01001,1318.180054,1339.670044,1339.670044,3796930000
8/1/2011,1292.589966,1307.380005,1274.72998,1286.939941,1286.939941,4967390000
9/1/2011,1219.119995,1229.290039,1203.849976,1204.420044,1204.420044,4780410000
10/1/2011,1131.209961,1138.98999,1098.920044,1099.22998,1099.22998,5670340000
11/1/2011,1251,1251,1215.420044,1218.280029,1218.280029,5645540000
12/1/2011,1246.910034,1251.089966,1239.72998,1244.579956,1244.579956,3818680000
1/1/2012,1258.859985,1284.619995,1258.859985,1277.060059,1277.060059,3943710000
2/1/2012,1312.449951,1330.52002,1312.449951,1324.089966,1324.089966,4504360000
3/1/2012,1365.900024,1376.170044,1365.900024,1374.089966,1374.089966,3919240000
4/1/2012,1408.469971,1422.380005,1404.459961,1419.040039,1419.040039,3572010000
5/1/2012,1397.859985,1415.319946,1395.72998,1405.819946,1405.819946,3807950000
6/1/2012,1309.869995,1309.869995,1277.25,1278.040039,1278.040039,4669350000
7/1/2012,1362.329956,1366.349976,1355.699951,1365.51001,1365.51001,3301650000
8/1/2012,1379.319946,1385.030029,1373.349976,1375.319946,1375.319946,4440920000
9/1/2012,1406.540039,1409.310059,1396.560059,1404.939941,1404.939941,3200310000
10/1/2012,1440.900024,1457.140015,1440.900024,1444.48999,1444.48999,3505080000
11/1/2012,1412.199951,1428.349976,1412.199951,1427.589966,1427.589966,3929890000
12/1/2012,1416.339966,1423.72998,1408.459961,1409.459961,1409.459961,3074280000
1/1/2013,1426.189941,1462.430054,1426.189941,1462.420044,1462.420044,4202600000
2/1/2013,1498.109985,1514.410034,1498.109985,1513.170044,1513.170044,3836320000
3/1/2013,1514.680054,1519.98999,1501.47998,1518.199951,1518.199951,3695610000
4/1/2013,1569.180054,1570.569946,1558.469971,1562.170044,1562.170044,2753110000
5/1/2013,1597.550049,1597.550049,1581.280029,1582.699951,1582.699951,3530320000
6/1/2013,1631.709961,1640.420044,1622.719971,1640.420044,1640.420044,3952070000
7/1/2013,1609.780029,1626.609985,1609.780029,1614.959961,1614.959961,3104690000
8/1/2013,1689.420044,1707.849976,1689.420044,1706.869995,1706.869995,3775170000
9/1/2013,1635.949951,1651.349976,1633.410034,1639.77002,1639.77002,3731610000
10/1/2013,1682.410034,1696.550049,1682.069946,1695,1695,3238690000
11/1/2013,1758.699951,1765.670044,1752.699951,1761.640015,1761.640015,3686290000
12/1/2013,1806.550049,1810.02002,1798.599976,1800.900024,1800.900024,3095430000
1/1/2014,1845.859985,1845.859985,1827.73999,1831.97998,1831.97998,3080600000
2/1/2014,1782.680054,1784.829956,1739.660034,1741.890015,1741.890015,4726040000
3/1/2014,1857.680054,1857.680054,1834.439941,1845.72998,1845.72998,3428220000
4/1/2014,1873.959961,1885.839966,1873.959961,1885.52002,1885.52002,3336190000
5/1/2014,1884.390015,1888.589966,1878.040039,1883.680054,1883.680054,3416740000
6/1/2014,1923.869995,1925.880005,1915.97998,1924.969971,1924.969971,2509020000
7/1/2014,1962.290039,1978.579956,1962.290039,1973.319946,1973.319946,3188240000
8/1/2014,1929.800049,1937.349976,1916.369995,1925.150024,1925.150024,3789660000
9/1/2014,2004.069946,2006.119995,1994.849976,2002.280029,2002.280029,2819980000
10/1/2014,1971.439941,1971.439941,1941.719971,1946.160034,1946.160034,4188590000
11/1/2014,2018.209961,2024.459961,2013.680054,2017.810059,2017.810059,3555440000
12/1/2014,2065.780029,2065.780029,2049.570068,2053.439941,2053.439941,4159010000
1/1/2015,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000
2/1/2015,1996.670044,2021.660034,1980.900024,2020.849976,2020.849976,4008330000
3/1/2015,2105.22998,2117.52002,2104.5,2117.389893,2117.389893,3409490000
4/1/2015,2067.629883,2067.629883,2048.379883,2059.689941,2059.689941,3543270000
5/1/2015,2087.379883,2108.409912,2087.379883,2108.290039,2108.290039,3379390000
6/1/2015,2108.639893,2119.149902,2102.540039,2111.72998,2111.72998,3011710000
7/1/2015,2067,2082.780029,2067,2077.419922,2077.419922,3727260000
8/1/2015,2104.48999,2105.699951,2087.310059,2098.040039,2098.040039,3476770000
9/1/2015,1970.089966,1970.089966,1903.069946,1913.849976,1913.849976,4371850000
10/1/2015,1919.650024,1927.209961,1900.699951,1923.819946,1923.819946,3983600000
11/1/2015,2080.76001,2106.199951,2080.76001,2104.050049,2104.050049,3760020000
12/1/2015,2082.929932,2103.370117,2082.929932,2102.629883,2102.629883,3712120000
1/1/2016,2038.199951,2038.199951,1989.680054,2012.660034,2012.660034,4304880000
2/1/2016,1936.939941,1947.199951,1920.300049,1939.380005,1939.380005,4322530000
3/1/2016,1937.089966,1978.349976,1937.089966,1978.349976,1978.349976,4819750000
4/1/2016,2056.620117,2075.070068,2043.97998,2072.780029,2072.780029,3749990000
5/1/2016,2067.169922,2083.419922,2066.110107,2081.429932,2081.429932,3841110000
6/1/2016,2093.939941,2100.969971,2085.100098,2099.330078,2099.330078,3525170000
7/1/2016,2099.340088,2108.709961,2097.899902,2102.949951,2102.949951,3458890000
8/1/2016,2173.149902,2178.290039,2166.209961,2170.840088,2170.840088,3505990000
9/1/2016,2171.330078,2173.560059,2157.090088,2170.860107,2170.860107,3392120000
10/1/2016,2164.330078,2164.409912,2154.77002,2161.199951,2161.199951,3137550000
11/1/2016,2128.679932,2131.449951,2097.850098,2111.719971,2111.719971,4532160000
12/1/2016,2200.169922,2202.600098,2187.439941,2191.080078,2191.080078,5063740000
1/1/2017,2251.570068,2263.879883,2245.129883,2257.830078,2257.830078,3770530000
2/1/2017,2285.590088,2289.139893,2272.439941,2279.550049,2279.550049,3916610000
